fid,elev
1,175.2496337890625
4,90.10153198242188
5,92.01261901855469
9,127.42936706542969
11,97.06842803955078
18,87.7436294555664
25,112.17288208007812
26,179.4993133544922
28,116.3922119140625
30,105.99758911132812
40,93.56171417236328
41,91.11331939697266
42,92.19769287109375
48,94.83550262451172
63,82.85537719726562
64,86.63011169433594
65,89.0223617553711
66,78.98731231689453
67,88.69132232666016
68,223.0686492919922
69,110.65501403808594
70,192.80519104003906
71,140.1134033203125
72,96.70623779296875
73,96.25464630126953
78,87.12401580810547
80,103.18048858642578
85,117.78256225585938
90,102.19274139404297
91,109.10716247558594
93,104.36116790771484
95,104.12061309814453
103,115.85969543457031
110,102.98955535888672
113,85.90572357177734
114,136.7093963623047
115,111.26879119873047
116,97.4971694946289
117,107.67633819580078
118,104.56343078613281
119,107.02056884765625
123,101.11321258544922
124,107.94380187988281
126,93.38111114501953
133,123.08836364746094
134,85.32227325439453
135,114.21649169921875
136,89.6466293334961
137,93.6423568725586
138,88.744873046875
139,91.4966812133789
141,89.67293548583984
142,88.52426147460938
143,132.49742126464844
144,90.33182525634766
145,113.07579040527344
146,86.14899444580078
147,86.8864974975586
148,86.35337829589844
149,86.43830871582031
150,79.44000244140625
151,79.13999938964844
152,90.98722839355469
153,86.47904968261719
154,84.22369384765625
155,84.21843719482422
156,81.67694091796875
157,81.84707641601562
158,104.5262680053711
159,105.69359588623047
160,111.76649475097656
161,120.63999938964844
162,80.98834228515625
164,84.34799194335938
165,91.43865966796875
166,87.19354248046875
175,90.67110443115234
180,92.92135620117188
190,97.70333862304688
193,79.95999908447266
200,92.50721740722656
217,139.87997436523438
243,113.27921295166016
245,105.12249755859375
249,82.52350616455078
266,118.29644775390625
270,90.0468978881836
271,89.22310638427734
272,84.4133071899414
273,85.2644271850586
277,87.02169799804688
278,156.8896026611328
283,150.75587463378906
316,83.1319580078125
323,223.13768005371094
325,153.2786865234375
377,107.55119323730469
378,97.77324676513672
379,108.55866241455078
380,110.14171600341797
388,112.84121704101562
393,84.41445922851562
394,84.96092987060547
395,85.75948333740234
459,86.0622787475586
461,91.67274475097656
463,91.34539031982422
467,94.46910095214844
474,92.73526000976562
481,109.42725372314453
482,108.88091278076172
484,110.44020080566406
486,114.06710052490234
490,112.05704498291016
493,114.86212921142578
494,114.94159698486328
495,116.09278106689453
496,116.84082794189453
497,113.66411590576172
500,115.1756820678711
513,105.89546966552734
514,96.22368621826172
516,86.67364501953125
517,86.18122863769531
520,121.59636688232422
521,111.17178344726562
522,110.94383239746094
523,98.85894012451172
525,115.09088134765625
526,112.74213409423828
528,112.27799987792969
529,112.86901092529297
535,115.33009338378906
540,153.15896606445312
541,134.11390686035156
542,128.93411254882812
543,128.06866455078125
544,129.9170379638672
545,135.69268798828125
546,118.0740737915039
552,89.46957397460938
554,83.21253967285156
555,90.36199951171875
556,174.57467651367188
557,144.63388061523438
558,85.93413543701172
559,88.59922790527344
560,164.6378631591797
561,83.08240509033203
562,92.92135620117188
563,169.0827178955078
566,83.20538330078125
567,83.31340789794922
568,84.59181213378906
569,81.79428100585938
570,90.4781723022461
571,84.88734436035156
572,82.65702056884766
573,84.67906951904297
574,85.06787109375
575,84.96400451660156
576,81.60759735107422
577,87.5907974243164
578,96.90274810791016
579,87.4098129272461
580,84.76070404052734
581,95.54654693603516
582,84.92855072021484
583,102.86006164550781
584,139.51768493652344
585,155.60000610351562
586,237.9033203125
587,121.60311126708984
588,92.89559173583984
589,151.1603240966797
590,488.0723571777344
591,146.44000244140625
592,94.03704071044922
593,111.42002868652344
594,194.39999389648438
595,85.63999938964844
596,160.80271911621094
608,158.0983428955078
633,146.10171508789062
636,288.1852111816406
649,86.34073638916016
650,89.1355972290039
652,152.27999877929688
654,91.89727783203125
655,92.30904388427734
659,86.01551818847656
