fid,gustoca_km_km2
1,0.295038
2,0.189857
3,0.152841
4,0.250073
5,0.171721
6,0.824297
7,0.668905
8,0.43403
9,0.425569
11,0.0
12,0.40461
14,0.0
15,0.36743
16,0.395388
17,0.372141
18,0.370948
19,0.120426
20,0.324859
21,0.541316
22,0.0
23,0.282481
25,0.0
26,0.0
27,0.509543
28,0.455521
29,0.386465
30,0.619726
31,0.040812
32,0.385623
33,0.561365
34,0.772555
35,0.208378
36,0.543782
37,0.500324
38,0.373054
39,0.381939
40,0.370481
41,0.532535
42,0.483184
43,0.474045
44,0.769086
45,0.565892
48,0.0
49,0.0
50,0.362676
51,0.665244
52,0.396989
53,0.409039
54,0.445156
55,0.403142
56,0.461449
57,0.815101
58,0.321311
59,0.0
60,0.628831
62,0.46792
63,0.440093
64,0.04059
65,0.0
66,0.380994
67,0.321395
68,0.402334
69,0.720288
70,0.363595
71,0.807977
72,0.152417
73,0.916627
78,1.001841
80,0.484643
85,0.211213
90,0.401571
91,0.383412
92,0.107999
93,0.138263
95,0.222759
103,0.445859
105,0.269014
106,0.036498
110,0.440511
113,1.121562
114,0.172137
115,0.710054
116,0.383997
117,0.552449
118,0.651631
119,0.489551
123,0.0
124,0.0
126,0.436271
132,0.617392
133,0.611451
134,0.480307
135,0.0
136,0.439141
137,0.270435
138,0.339009
139,0.404892
140,0.387665
141,0.558983
142,0.792334
143,0.399899
144,0.734967
145,0.0
146,0.591672
147,0.614003
148,0.075751
149,0.112704
150,0.724922
151,0.735314
152,0.442617
153,0.443437
154,0.397356
155,0.396985
156,0.60985
157,0.6505
158,0.337593
159,0.198907
160,0.38164
161,0.370073
162,0.397992
164,0.415316
165,0.949387
166,0.671008
175,0.217913
180,0.268387
190,0.420837
193,0.518329
200,0.324338
211,1.025928
217,0.369907
227,0.053888
243,0.37425
245,0.294279
247,0.904584
249,0.523669
266,0.69849
270,0.0
271,0.771711
272,0.347781
273,0.014228
277,0.495574
278,0.263287
279,0.244126
283,0.177729
312,0.635577
313,0.332455
314,0.470165
315,0.375175
316,0.556879
323,0.0
325,0.001522
377,0.667538
378,0.68422
379,0.547073
380,0.334121
388,0.409828
393,0.50964
394,0.629074
395,0.559052
459,0.581533
461,0.128501
463,0.751406
467,0.736848
472,0.624606
473,0.172847
474,0.261456
475,0.356816
476,0.465811
477,0.832739
478,0.698519
479,0.689441
481,0.26059
482,0.281063
484,0.455225
486,0.340953
490,0.472988
492,0.464137
493,0.464332
494,0.468639
495,0.454861
496,0.393039
497,0.386329
500,0.672688
513,0.321888
514,0.324168
515,0.390542
516,0.404534
517,0.45075
520,0.886959
521,0.167291
522,0.185298
523,0.065371
524,0.378984
525,0.40336
526,0.347805
527,0.377813
528,0.027464
529,0.0
530,0.403789
531,0.350439
532,0.259296
533,0.723671
534,0.432932
535,0.423955
536,0.357222
537,1.190292
538,0.863009
539,0.200894
540,0.0
541,0.0
542,0.0
543,0.0
544,0.0
545,0.0
546,0.0
547,0.0
548,0.0
549,0.516992
550,0.265739
551,0.121997
552,0.758048
553,0.989396
554,0.0
555,0.0
556,0.450133
557,0.25914
558,0.314125
559,0.6394
560,0.586621
561,0.781706
562,0.268059
563,0.335249
566,0.369045
567,0.360039
568,0.466974
569,0.406922
570,0.190942
571,0.396271
572,0.593242
573,0.24593
574,0.755279
575,0.332862
576,0.51686
577,0.314861
578,0.0
579,0.705885
580,0.36914
581,0.403664
582,0.502972
583,0.151872
584,0.731894
585,0.602117
586,0.302902
587,0.53016
588,0.0
589,0.674244
590,0.0
591,0.232977
592,0.122202
593,0.911699
594,0.562205
595,0.376673
596,0.0
608,0.642798
633,0.613814
636,0.0
649,0.650261
650,0.011599
652,0.202753
654,0.354629
655,0.348154
656,0.078256
657,0.245483
659,0.121842
