fid,rel_100_1000m
63,0.204
64,0.383
65,-0.8
66,-4.94
67,0.529
68,44.199
70,19.164
72,4.774
73,2.967
78,0.571
85,-3.77
91,2.222
93,-0.271
95,-0.518
114,4.811
115,4.388
117,6.776
118,3.575
119,4.452
123,-3.043
124,-0.833
133,-17.746
134,-0.387
135,-0.011
136,2.82
137,-0.248
138,-0.158
139,-2.287
141,-0.944
142,-0.89
143,1.502
144,-4.456
145,-1.627
146,-1.673
147,-1.008
148,-0.556
149,-0.232
150,-4.885
151,-5.069
152,0.857
153,-1.936
154,-1.246
155,-1.474
156,-3.983
157,-3.949
158,-0.692
159,-0.947
160,6.091
161,14.646
162,-1.219
164,0.255
165,-4.361
166,-0.568
175,0.803
190,1.41
193,0.912
200,-0.066
217,3.198
243,-3.476
245,-0.505
249,0.537
266,2.453
270,0.524
271,0.148
272,-1.569
273,-0.24
277,-0.046
278,10.242
316,-0.013
323,19.487
325,-33.318
377,3.919
378,-8.757
379,-0.185
380,4.793
388,7.511
393,-1.145
394,-2.696
395,-3.611
459,0.538
461,1.067
463,-2.685
467,1.321
482,9.793
484,10.547
486,13.354
493,11.134
494,12.458
495,14.85
497,11.958
500,13.95
554,-0.465
555,-0.022
558,-0.051
559,-0.196
560,-9.485
561,-6.33
563,-16.747
566,-1.502
567,-0.42
568,-0.31
569,-3.265
570,-1.602
571,-0.888
572,-0.2
573,0.191
574,-0.026
575,-1.903
576,-0.099
577,-3.179
578,4.085
579,-2.523
580,1.13
581,-3.947
582,0.824
583,-2.454
584,-16.677
585,-11.763
586,38.07
587,-3.136
588,1.546
589,-1.2
590,0.964
591,11.165
593,0.317
594,-8.058
595,-1.906
596,6.787
608,-2.579
633,1.302
636,-12.183
649,0.988
650,-0.911
652,17.444
654,3.136
655,3.684
659,0.164
