fid,dist_rijeka
63,1105.122862546484
64,1842.6136955807117
65,2422.1650022324757
66,80.70761156358463
67,1240.5966267994975
68,449.5154333687325
70,1023.7829770001237
72,1106.123228807117
73,123.45936396120788
78,413.2368199862374
85,164.04186458873463
91,1295.816808036474
93,821.4003297945678
95,1457.2481693358661
114,803.2564016110093
115,399.89448620766643
117,307.17226993638803
118,216.10513807441217
119,240.91880001470093
123,2937.5515327240164
124,2697.966196674645
133,77.80295688741838
134,1012.6313424674248
135,3116.4514554470843
136,1098.0412027635246
137,1229.5269438636115
138,472.71147186516913
139,53.92588449968822
141,19.665637887388538
142,127.73619153183239
143,1222.4408664869404
144,114.03314728406478
145,3428.5141514219313
146,98.46733283404731
147,142.8639575916644
148,1707.3654208616977
149,1580.5387947923425
150,127.20592113179674
151,68.50903797006387
152,676.5693477415239
153,607.2997198301398
154,641.3977089932469
155,697.5633450754806
156,24.692726206279353
157,6.8272852836093225
158,1221.8812572428483
159,1402.6483993230981
160,171.9929750671222
161,245.6497455847521
162,99.77058711702983
164,244.564822568668
165,232.95779794705365
166,32.221158193935636
175,1207.4317086561466
190,918.6186129478182
193,327.5767134645065
200,1143.9500571752442
217,1404.3260266760658
243,327.804303520632
245,795.7626367006304
249,362.7539397887902
266,203.01695350900124
270,2345.921092248223
271,97.45041511364174
272,877.2403918539767
273,1970.3855051733442
277,362.2245770558134
278,1117.5061578048053
316,115.57346620467041
323,3657.6232622618554
325,1995.5987511349845
377,277.61901525713046
378,120.26902579980818
379,311.60459387770146
380,587.7691555843581
388,983.9175299157049
393,53.36112297973055
394,748.6850770079249
395,839.9059384113085
459,125.2478595559717
461,1349.1728644188847
463,268.25699730225875
467,179.70354030049592
482,605.2608647698592
484,1450.186406840081
486,572.0236623190514
493,204.79266510409462
494,169.96609650158555
495,260.9129267106648
497,160.8265828192295
500,171.423802805302
554,2080.4548711783395
555,2033.1641562513364
558,980.6526577141121
559,445.4212725372407
560,330.4959146415914
561,133.49571340479264
563,192.99370880647302
566,129.91231702140925
567,205.7571391326274
568,98.23607000581443
569,47.83771738551212
570,1263.379557336279
571,375.3661111226669
572,327.74124466886764
573,1282.3850280604302
574,723.1316695057127
575,1202.9857694977568
576,421.7222530460789
577,940.3755387841753
578,2295.1032981839985
579,184.60848678219656
580,258.19036791981796
581,211.4538590714685
582,949.072804780536
583,1709.9519005837735
584,66.83002451848095
585,426.81199580386215
586,745.4554535695557
587,65.280198083366
588,2575.4771348816093
589,528.8368130178497
590,2508.804110196811
591,1206.4730255405902
593,335.2840933059506
594,300.9617520941862
595,287.41777008421985
596,2622.0360212504165
608,193.3860954473344
633,432.976724288347
636,2460.29486586301
649,69.16256454911635
650,1964.5704809694598
652,1393.767691540462
654,293.4959739431789
655,276.81183476380966
659,1574.9126596344638
