fid,vecinski_tip_tla
1,Luvisols
2,Cambisols
3,Cambisols
4,Gleysols
5,Cambisols
6,Gleysols
7,Gleysols
8,Luvisols
9,Luvisols
11,Gleysols
12,Luvisols
14,Gleysols
15,Cambisols
16,Cambisols
17,Cambisols
18,Cambisols
19,Gleysols
20,Fluvisols
21,Gleysols
22,Luvisols
23,Gleysols
25,Cambisols
26,Cambisols
27,Luvisols
28,Luvisols
29,Gleysols
30,Luvisols
31,Luvisols
32,Luvisols
33,Luvisols
34,Cambisols
35,Cambisols
36,Cambisols
37,Cambisols
38,Cambisols
39,Gleysols
40,Gleysols
41,Cambisols
42,Gleysols
43,Gleysols
44,Luvisols
45,Gleysols
48,Gleysols
49,Cambisols
50,Cambisols
51,Gleysols
52,Gleysols
53,Cambisols
54,Cambisols
55,Cambisols
56,Luvisols
57,Gleysols
58,Luvisols
59,Cambisols
60,Gleysols
62,Gleysols
63,Gleysols
64,Luvisols
65,Gleysols
66,Gleysols
67,Gleysols
68,Luvisols
69,Luvisols
70,Cambisols
71,Luvisols
72,Cambisols
73,Cambisols
78,Gleysols
80,Cambisols
85,Cambisols
90,Cambisols
91,Cambisols
92,Cambisols
93,Cambisols
95,Cambisols
103,Gleysols
105,Cambisols
106,Gleysols
110,Cambisols
113,Gleysols
114,Luvisols
115,Luvisols
116,Luvisols
117,Luvisols
118,Luvisols
119,Luvisols
123,Luvisols
124,Luvisols
126,Gleysols
132,Luvisols
133,Luvisols
134,Gleysols
135,Luvisols
136,Luvisols
137,Luvisols
138,Cambisols
139,Luvisols
140,Gleysols
141,Gleysols
142,Luvisols
143,Luvisols
144,Gleysols
145,Luvisols
146,Cambisols
147,Cambisols
148,Gleysols
149,Gleysols
150,Luvisols
151,Luvisols
152,Cambisols
153,Cambisols
154,Gleysols
155,Gleysols
156,Cambisols
157,Cambisols
158,Cambisols
159,Cambisols
160,Cambisols
161,Fluvisols
162,Gleysols
164,Luvisols
165,Fluvisols
166,Gleysols
175,Gleysols
180,Luvisols
190,Gleysols
193,Gleysols
200,Luvisols
211,Gleysols
217,Luvisols
227,Cambisols
243,Luvisols
245,Luvisols
247,Luvisols
249,Gleysols
266,Cambisols
270,Gleysols
271,Gleysols
272,Gleysols
273,Luvisols
277,Luvisols
278,Luvisols
279,Luvisols
283,Luvisols
312,Gleysols
313,Gleysols
314,Luvisols
315,Luvisols
316,Cambisols
323,Cambisols
325,Cambisols
377,Luvisols
378,Luvisols
379,Luvisols
380,Luvisols
388,Luvisols
393,Gleysols
394,Gleysols
395,Gleysols
459,Gleysols
461,Luvisols
463,Fluvisols
467,Luvisols
472,Cambisols
473,Gleysols
474,Cambisols
475,Luvisols
476,Luvisols
477,Luvisols
478,Luvisols
479,Cambisols
481,Gleysols
482,Cambisols
484,Luvisols
486,Gleysols
490,Cambisols
492,Cambisols
493,Cambisols
494,Cambisols
495,Gleysols
496,Cambisols
497,Luvisols
500,Cambisols
513,Fluvisols
514,Luvisols
515,Cambisols
516,Cambisols
517,Cambisols
520,Luvisols
521,Cambisols
522,Cambisols
523,Cambisols
524,Gleysols
525,Luvisols
526,Gleysols
527,Cambisols
528,Cambisols
529,Cambisols
530,Cambisols
531,Luvisols
532,Luvisols
533,Luvisols
534,Luvisols
535,Luvisols
536,Luvisols
537,Gleysols
538,Gleysols
539,Cambisols
540,Cambisols
541,Cambisols
542,Cambisols
543,Cambisols
544,Cambisols
545,Cambisols
546,Cambisols
547,Cambisols
548,Fluvisols
549,Luvisols
550,Luvisols
551,Gleysols
552,Cambisols
553,Cambisols
554,Gleysols
555,Gleysols
556,Luvisols
557,Luvisols
558,Gleysols
559,Gleysols
560,Cambisols
561,Cambisols
562,Luvisols
563,Cambisols
566,Gleysols
567,Cambisols
568,Cambisols
569,Cambisols
570,Cambisols
571,Cambisols
572,Luvisols
573,Gleysols
574,Luvisols
575,Cambisols
576,Cambisols
577,Luvisols
578,Cambisols
579,Gleysols
580,Gleysols
581,Cambisols
582,Cambisols
583,Luvisols
584,Cambisols
585,Cambisols
586,Cambisols
587,Luvisols
588,Gleysols
589,Cambisols
590,Cambisols
591,Cambisols
592,Gleysols
593,Gleysols
594,Cambisols
595,Gleysols
596,Luvisols
608,Luvisols
633,Luvisols
636,Luvisols
649,Gleysols
650,Luvisols
652,Cambisols
654,Gleysols
655,Gleysols
656,Fluvisols
657,Gleysols
659,Gleysols
